,repair-story
23,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
24,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
25,"Broken door spring allows the door to overextend to the floor if not propped.
Simple, removed screws securing machine in the cabinet, then pull the unit out of the cabinet space about 10 inches. Springs are accessible within this extension. You need strong hands to extend the springs and attach them. Once attached, push machine back in place and re-install the anchor screws. In my situation, only one spring was bro ... Read more
Parts Used:
Spring,Hinge
Gregory L from INDEPENDENCE, OH
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
30 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
26,"Broken door spring allows the door to overextend to the floor if not propped.
Simple, removed screws securing machine in the cabinet, then pull the unit out of the cabinet space about 10 inches. Springs are accessible within this extension. You need strong hands to extend the springs and attach them. Once attached, push machine back in place and re-install the anchor screws. In my situation, only one spring was bro ... Read more
Parts Used:
Spring,Hinge
Gregory L from INDEPENDENCE, OH
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
30 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
27,"One of the wheel assemblies fell off and melted in the dishwasher.
I ordered the part and snapped it on. It was so easy to find the part on the website and it came very quickly. I am a satisfied customer!
Parts Used:
Lower Wheel Assembly
Kathryn from Oak Creek, CO
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
475 of 483 people found this instruction helpful.
Was this instruction helpful to you?"
28,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
29,"The spray arm would fall off during the washing cycle.
Repair was simple. I unscrewed the old grommet which held the old spray arm and screwed-on the new one. About 30 seconds was required. Other people having this problem should note that the spray-arm is made of three pieces which are inseparable when the arm is new. The arm is sold in this form. However, when your machine is having th ... Read more
Parts Used:
Upper Spray Arm
Roy from Worcester, MA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
824 of 841 people found this instruction helpful.
Was this instruction helpful to you?"
30,"Broken door spring allows the door to overextend to the floor if not propped.
Simple, removed screws securing machine in the cabinet, then pull the unit out of the cabinet space about 10 inches. Springs are accessible within this extension. You need strong hands to extend the springs and attach them. Once attached, push machine back in place and re-install the anchor screws. In my situation, only one spring was bro ... Read more
Parts Used:
Spring,Hinge
Gregory L from INDEPENDENCE, OH
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
30 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
31,"Broken door spring allows the door to overextend to the floor if not propped.
Simple, removed screws securing machine in the cabinet, then pull the unit out of the cabinet space about 10 inches. Springs are accessible within this extension. You need strong hands to extend the springs and attach them. Once attached, push machine back in place and re-install the anchor screws. In my situation, only one spring was bro ... Read more
Parts Used:
Spring,Hinge
Gregory L from INDEPENDENCE, OH
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
30 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
32,"Broken door spring allows the door to overextend to the floor if not propped.
Simple, removed screws securing machine in the cabinet, then pull the unit out of the cabinet space about 10 inches. Springs are accessible within this extension. You need strong hands to extend the springs and attach them. Once attached, push machine back in place and re-install the anchor screws. In my situation, only one spring was bro ... Read more
Parts Used:
Spring,Hinge
Gregory L from INDEPENDENCE, OH
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
30 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
33,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
34,"The spray arm would fall off during the washing cycle.
Repair was simple. I unscrewed the old grommet which held the old spray arm and screwed-on the new one. About 30 seconds was required. Other people having this problem should note that the spray-arm is made of three pieces which are inseparable when the arm is new. The arm is sold in this form. However, when your machine is having th ... Read more
Parts Used:
Upper Spray Arm
Roy from Worcester, MA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
824 of 841 people found this instruction helpful.
Was this instruction helpful to you?"
35,"Heater element broken.
Step 1: Remove the screws in the bottom of the countertop.

Step 2: Remove the screws holding the bottom kickplate.

Step 3: Loosen leveling legs.

Step 4: Pull dishwasher out of hole.

Step 5: Unlplug dishwasher.

Step 6: Disconnect wires from bottom of element in back.

Step 7: ... Read more
Parts Used:
Dishwasher Heating Element
Dennis from Sedro Woolley, WA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers, Wrench set
226 of 260 people found this instruction helpful.
Was this instruction helpful to you?"
36,"Rack roller broke
I opened the end stop of the rack, replaced the roller, and put the end stop back on. I can't believe I paid the repairman the last time $125????? An he put in a regular screw that rusted and broke the roller. Took me 3 minutes! Thanks
Parts Used:
White Dishrack Roller
Kathy from Lombard, IL
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Pliers
498 of 503 people found this instruction helpful.
Was this instruction helpful to you?"
37,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
38,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
39,"Lower rack wheel was melted
Unsnapped clip,and moved it 90 degrees. Slip wheel and clip off. Installed clip on new wheel. replaced new wheel. The wheel did not come with a new clip and was not suggested on the parts list. The existing clip was still OK but if it was not, I would have had to order a clip and wait. All in all, a good experience.
Parts Used:
Lower Rack Wheel Kit - 8 Pack
Mark from Huntingdon Valley, PA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
522 of 547 people found this instruction helpful.
Was this instruction helpful to you?"
40,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
41,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
42,"time to change water filter
first, there many different water filters. your experience will be different according to your water filter type.
Parts Used:
WATER FILTER,PS ULTRA SYSTEM
Ronald from Warrensburg, MO
Difficulty Level:
Really Easy
Total Repair Time:
30 - 60 mins
2 of 4 people found this instruction helpful.
Was this instruction helpful to you?"
43,"track of the pan become broken
Buy a new crisper pan,slide out old one ,slide in new one
Parts Used:
Refrigerator Crisper Drawer with Humidity Control
Darrell from Cedar Bluff, VA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
425 of 448 people found this instruction helpful.
Was this instruction helpful to you?"
44,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
45,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
46,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
47,"The poorly designed deli drawer lid tab broke off
Removed the fruit & veggie drawers & the deli (pantry) drawer. Took out the 3 screws, removed the attached parts, put them on the replacement part, reattached it and put the drawers back in.

Here's the part I want to share: PartSelect had a expanded diagram showing the correct part and sufficiently detailed to figure out the ... Read more
Parts Used:
Pantry End Cap Kit, LH and RH
Tim from Littleton, CO
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver
312 of 347 people found this instruction helpful.
Was this instruction helpful to you?"
48,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
49,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
50,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
51,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
52,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
53,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
54,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
55,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
56,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
57,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
58,"replace leaking water inlet valve assembly
1. Shut off water to refrigerator. 2. Removed bottom sheet metal cover (6 screws). 3. Removed leaking water inlet valve assembly from refrigerator (1 screw). 4. Remove water inlet tube (loosen nut) and tube back to refrigerator (pull from water valve after remove cotter pin washer). 5. Detach two electrical wire harnesses. 6. Install new ... Read more
Parts Used:
Water Inlet Valve Assembly
Richard from JACKSONVILLE, FL
Difficulty Level:
Really Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
31 of 57 people found this instruction helpful.
Was this instruction helpful to you?"
59,"My nephew accidentally forced the door closed last year, which resulted in the door having to be re closed manually folding back the flap. Ugh!
Unscered 2 screws, unplug electrical connection under the screws, slide her flap into grooves, realign screw holes , and rescrew in. Done.
Parts Used:
PLATE ASSEMBLY,FRONT
Tiziana from WARWICK, NY
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Nutdriver
23 of 40 people found this instruction helpful.
Was this instruction helpful to you?"
60,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
61,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
62,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
63,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
64,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
65,"Water not draining, causing ""0E"" number to appear and initiatate dishwasher shutdown.
According to your site, the part(s), to consider, to resolve the problem were: 1.Motor Assembly DC Pump, OR 2.Drain Pump. I simply selected the drain pump because it was cheaper and because it was making a clicking noise. (The only significant noise that this dishwasher was making) To be safe, I unplugged the unit and turned off the w ... Read more
Parts Used:
Drain Pump Assembly
Patrick from CHANDLER, AZ
Difficulty Level:
Easy
Total Repair Time:
30 - 60 mins
Tools:
Pliers, Screw drivers
25 of 27 people found this instruction helpful.
Was this instruction helpful to you?"
66,"Water not draining, causing ""0E"" number to appear and initiatate dishwasher shutdown.
According to your site, the part(s), to consider, to resolve the problem were: 1.Motor Assembly DC Pump, OR 2.Drain Pump. I simply selected the drain pump because it was cheaper and because it was making a clicking noise. (The only significant noise that this dishwasher was making) To be safe, I unplugged the unit and turned off the w ... Read more
Parts Used:
Drain Pump Assembly
Patrick from CHANDLER, AZ
Difficulty Level:
Easy
Total Repair Time:
30 - 60 mins
Tools:
Pliers, Screw drivers
25 of 27 people found this instruction helpful.
Was this instruction helpful to you?"
67,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
68,"dishwasher not draining after wash cycle
Caviat: The actual repair is less than 15 minutes, but I spent a lot of time playing with it before I figured out it was that easy and fast. You don't need to remove the dishwasher from the counter to do this. And it will probably help to look at the new part closely so you can understand where the retainer clip is to press it and release ... Read more
Parts Used:
Dishwasher Drain Pump
Andrew from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
485 of 544 people found this instruction helpful.
Was this instruction helpful to you?"
69,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
70,"Dispenser wasn't closing
Unscrewed the screws, displaced the dispenser and re installed the screws
Parts Used:
Dispenser
Kristyn from Downers Grove, IL
Difficulty Level:
A Bit Difficult
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
8 of 10 people found this instruction helpful.
Was this instruction helpful to you?"
71,"Dispenser wasn't closing
Unscrewed the screws, displaced the dispenser and re installed the screws
Parts Used:
Dispenser
Kristyn from Downers Grove, IL
Difficulty Level:
A Bit Difficult
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
8 of 10 people found this instruction helpful.
Was this instruction helpful to you?"
72,"Dispenser wasn't closing
Unscrewed the screws, displaced the dispenser and re installed the screws
Parts Used:
Dispenser
Kristyn from Downers Grove, IL
Difficulty Level:
A Bit Difficult
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
8 of 10 people found this instruction helpful.
Was this instruction helpful to you?"
73,"Door spring link broken
1. Open the dishwasher and remove the two plastic grommets about halfway down on either side of the opening. Then remove the two screws under the grommets.

2. Remove the kick plate under the door. May have to lower unit by turning the feet using the adjustable wrench.

3. Make sure you have enough slack in the water i ... Read more
Parts Used:
Door Balance Link Kit
Sean from Ramona, CA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers, Wrench (Adjustable)
155 of 189 people found this instruction helpful.
Was this instruction helpful to you?"
74,"Keep searches simple. Use keywords, e.g. ""leaking"", ""pump"", ""broken"" or ""fit""."
75,"Lost dishwasher brackets
I called an experienced plumber, who balanced and installed my new dishwasher properly, using the brackets I ordered from Parts Select, after an INEXPERIENCED plumber had tossed the factory-provided mounting brackets out with the shipping carton. Relief!
Parts Used:
Mounting Bracket
Judith from Essex, MA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
76 of 111 people found this instruction helpful.
Was this instruction helpful to you?"
76,"The dish rack had two sets of adjustable tines that had never worked.
I ordered two clips just in case. Turns out I needed both of them. Since I hadn't seen the adjustable tines installed, it took some time to figure out how to put the assembly together.

For some reason I had the dishwasher for 7 years before it occurred to me to order the replacement parts. It's much more efficient to use wit ... Read more
Parts Used:
Adjustable Peg Clip
frank from kenmore, WA
Difficulty Level:
Difficult
Total Repair Time:
30 - 60 mins
483 of 491 people found this instruction helpful.
Was this instruction helpful to you?"
77,"dishwasher not draining after wash cycle
Caviat: The actual repair is less than 15 minutes, but I spent a lot of time playing with it before I figured out it was that easy and fast. You don't need to remove the dishwasher from the counter to do this. And it will probably help to look at the new part closely so you can understand where the retainer clip is to press it and release ... Read more
Parts Used:
Dishwasher Drain Pump
Andrew from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
485 of 544 people found this instruction helpful.
Was this instruction helpful to you?"
